Pavadinimas,Metai,Trukmė,Žanras,Reitingas
A Trip to the Moon,1902,13 ,"Short, Action, Adventure",8.2
The Great Train Robbery,1903,11 ,"Short, Action, Adventure",7.3
Les vampires,1915,421 ,"Action, Adventure, Crime",7.3
Intolerance,1916,163 ,"Drama, History",7.7
Judex,1916,300 ,"Adventure, Crime",7.2
Broken Blossoms,1919,90 ,"Drama, Romance",7.2
The Cabinet of Dr. Caligari,1920,67 ,"Horror, Mystery, Thriller",8.0
Way Down East,1920,145 ,"Drama, Romance",7.3
The Four Horsemen of the Apocalypse,1921,150 ,"Drama, Romance, War",7.1
The Kid,1921,68 ,"Comedy, Drama, Family",8.2
The Phantom Carriage,1921,107 ,"Drama, Fantasy, Horror",8.0
"Dr. Mabuse, the Gambler",1922,242 ,"Crime, Mystery, Thriller",7.8
Häxan,1922,91 ,"Documentary, Fantasy, Horror",7.6
Nanook of the North,1922,78 ,Documentary,7.6
Our Hospitality,1923,65 ,"Comedy, Romance, Thriller",7.8
The Wheel,1923,417 ,Drama,7.5
Safety Last!,1923,74 ,"Action, Comedy, Thriller",8.1
The Great White Silence,1922,80 ,Documentary,8.0
Greed,1924,140 ,"Drama, Thriller, Western",8.0
The Iron Horse,1924,150 ,"Drama, History, Romance",7.2
The Last Laugh,1924,90 ,Drama,8.0
The Navigator,1924,59 ,"Action, Comedy, Romance",7.6
Sherlock Jr.,1924,45 ,"Action, Comedy, Romance",8.2
The Thief of Bagdad,1924,155 ,"Adventure, Family, Fantasy",7.7
Battleship Potemkin,1925,66 ,"Drama, History, Thriller",7.9
Ben-Hur: A Tale of the Christ,1925,143 ,"Action, Adventure, Drama",7.8
The Big Parade,1925,151 ,"Drama, Romance, War",7.9
The Freshman,1925,77 ,"Comedy, Family, Romance",7.5
The Gold Rush,1925,95 ,"Adventure, Comedy, Drama",8.1
The Phantom of the Opera,1925,93 ,Horror,7.5
Seven Chances,1925,56 ,"Comedy, Romance",7.8
Strike,1925,82 ,Drama,7.6
The Adventures of Prince Achmed,1926,80 ,"Animation, Adventure, Family",7.8
The General,1926,78 ,"Action, Adventure, Comedy",8.1
The Jazz Singer,1927,88 ,"Drama, Music, Musical",6.4
Frankenstein,1931,70 ,"Drama, Horror, Sci-Fi",7.8
Dracula,1931,75 ,"Drama, Fantasy, Horror",7.4
Dr. Jekyll and Mr. Hyde,1931,98 ,"Horror, Sci-Fi",7.6
City Lights,1931,87 ,"Comedy, Drama, Romance",8.5
La Chienne,1931,95 ,"Crime, Drama",7.5
The Champ, 1931,86 ,"Drama, Family, Sport",7.3
Under the Roofs of Paris,1930,96 ,"Comedy, Drama, Musical",7.1
Little Caesar,1931,79 ,"Action, Crime, Drama",7.2
Hell's Angels,1930,127 ,"Drama, War",7.3
Earth,1930,75 ,Drama,7.2
The Blue Angel,1930,104 ,"Drama, Music",7.7
Animal Crackers,1930,97 ,"Comedy, Family, Musical",7.4
All Quiet on the Western Front,1930,152 ,"Drama, War",8.1
The Golden Age,1930,63 ,"Comedy, Drama",7.2
Pandora's Box,1929,109 ,"Crime, Drama, Romance",7.8
Man with a Movie Camera,1929,68 ,Documentary,8.3
An Andalusian Dog,1929,16 ,"Short, Fantasy, Horror",7.6
The Wind,1928,95 ,"Drama, Romance, Thriller",8.0
Storm Over Asia,1928,74 ,"Drama, War",7.0
"Steamboat Bill, Jr.",1928,70 ,"Action, Comedy, Drama",7.8
The Passion of Joan of Arc,1928,114 ,"Biography, Drama, History",8.1
October (Ten Days that Shook the World),1927,95 ,"Drama, History",7.4
The Last Command,1928,88 ,"Drama, History, Romance",8.0
The Docks of New York,1928,76 ,"Crime, Drama, Film-Noir",7.5
The Crowd,1928,98 ,"Drama, Romance",8.1
The Circus,1928,72 ,"Comedy, Family, Romance",8.1
Wings,1927,144 ,"Drama, Romance, War",7.5
The Unknown,1927,68 ,"Drama, Horror, Romance",7.7
Sunrise,1927,94 ,"Drama, Romance",8.1
7th Heaven,1927,110 ,"Drama, Romance",7.6
Napoleon,1927,330 ,"Biography, Drama, History",8.2
Metropolis,1927,153 ,"Drama, Sci-Fi",8.3
